,index,Age_No,Lab_No,Sample_No,Age,Error_Plus,Error_Minus,Age_Method,Age_Interpretation,Age_Note,Age_Material,Age_Technique,Age_Qualifier,Geological_Province,Province,Latitude,Longitude,Location,Geological_Info,Rock_Type,Rock_Description,References,LastUpdated
6,7405,17994,-11333,F-8,995,2,2,U/Pb,Metamorphic,"2 fractions (unabr), 1 is slightly reversely discordant (-1%), the other slightly discordant (0.7%). Age is upper intercept of line through both points (not a true regression, MSWD not applicable)",Monazite,TIMS,Direct,Grenville Province,QC,47.3048,-76.86719,"On Hwy 117, 67 km S of Grenville Front. Coordinates interpolated from sketch map in report (by OGS compilers). To be verified to coordinates given in repository item",Reservoir Dozois terrane - unknown; Reservoir Dozois terrane,Plutonic,slightly foliated granite cutting metasediments; further details in repository item - not acquired at time of compilation,"Childe, F., Doig, R. and Gariepy, C., 1993. Monazite as a metamorphic chronometer, south of the Grenville Front, western Quebec; Canadian Journal of Earth Sciences, v. 30,  p. 1056-1065 ",8/1/05 20:18
8,7403,17992,-11331,F-5,1000,8,8,U/Pb,Metamorphic,"4 fractions, discordant (1 - 3%), 3 are colinear, 4th just off trend (still touching one of the other 3). Age is mean 207Pb/206Pb age.",Monazite,TIMS,Direct,Grenville Province,QC,47.37341,-76.99248,On Hwy 117. Coordinates interpolated from sketch map in report (by OGS compilers). To be verified to coordinates given in repository item.,Reservoir Dozois terrane - unknown; Reservoir Dozois terrane,Metamorphic,gneiss; further details in repository item - not acquired at time of compilation,"Childe, F., Doig, R. and Gariepy, C., 1993. Monazite as a metamorphic chronometer, south of the Grenville Front, western Quebec; Canadian Journal of Earth Sciences, v. 30,  p. 1056-1065 ",8/1/05 20:13
11,7439,17996,-11334,F-9,1005,2,2,U/Pb,Peak Metamorphic,"5 fractions from 2 populations (have diff. chemical signatures). This age is for younger grouping, given by 2 fractions (concordant and 1.4% disordant). Age is upper intercept of ""regression"" on these two, 2nd pulse of metamorphism.",Monazite,TIMS,Direct,Grenville Province,QC,47.28814,-76.83608,On Hwy 117. Coordinates interpolated from sketch map in report (by OGS compilers). To be verified to coordinates given in repository item,Reservoir Dozois terrane - unknown; Reservoir Dozois terrane,Metamorphic,gneiss; further details in repository item - not acquired at time of compilation,"Childe, F., Doig, R. and Gariepy, C., 1993. Monazite as a metamorphic chronometer, south of the Grenville Front, western Quebec; Canadian Journal of Earth Sciences, v. 30,  p. 1056-1065 ",8/1/05 20:25
12,7401,17988,-11330,F-4,1005,7,7,U/Pb,Metamorphic,"Large number of analyses cluster just below concordia to more discordant and scattered. Age is mean ""for those grains which did not appear to contain an inherited component"". No further details; data is a repository item.",Monazite,TIMS,Estimate,Grenville Province,QC,47.41175,-77.02637,On Hwy 117. Coordinates interpolated from sketch map in report (by OGS compilers). To be verified to coordinates given in repository item.,Reservoir Dozois terrane - unknown; Reservoir Dozois terrane,Metamorphic,gneiss; further details in repository item - not acquired at time of compilation,"Childe, F., Doig, R. and Gariepy, C., 1993. Monazite as a metamorphic chronometer, south of the Grenville Front, western Quebec; Canadian Journal of Earth Sciences, v. 30,  p. 1056-1065 ",8/1/05 20:08
14,7404,17993,-11332,F-6,1006,2,2,U/Pb,Metamorphic,"2 fractions (unabr), 1 is concordant, the other slightly discordant (1.8%). Age is mean (identical ) 207Pb/206Pb age.",Monazite,TIMS,Direct,Grenville Province,QC,47.35341,-76.9647,On Hwy 117. Coordinates interpolated from sketch map in report (by OGS compilers). To be verified to coordinates given in repository item.,Reservoir Dozois terrane - unknown; Reservoir Dozois terrane,Metamorphic,gneiss; further details in repository item - not acquired at time of compilation,"Childe, F., Doig, R. and Gariepy, C., 1993. Monazite as a metamorphic chronometer, south of the Grenville Front, western Quebec; Canadian Journal of Earth Sciences, v. 30,  p. 1056-1065 ",8/1/05 20:14
19,7440,17997,-11334,F-9,1020,3,3,U/Pb,Metamorphic,"5 fractions from 2 populations (have diff. chemical signatures). This age is for older group, consisting of 3 slightly discordant (0.7 - 1.5%) colinear points, age is upper intercept. 1st pulse of metamorphism. MSWD not reported; visually tight.",Monazite,TIMS,Direct,Grenville Province,QC,47.28814,-76.83608,On Hwy 117. Coordinates interpolated from sketch map in report (by OGS compilers). To be verified to coordinates given in repository item,Reservoir Dozois terrane - unknown; Reservoir Dozois terrane,Metamorphic,gneiss; further details in repository item - not acquired at time of compilation,"Childe, F., Doig, R. and Gariepy, C., 1993. Monazite as a metamorphic chronometer, south of the Grenville Front, western Quebec; Canadian Journal of Earth Sciences, v. 30,  p. 1056-1065 ",8/1/05 20:26
50,6440,40648,-16799,4 LJT leucosome,1636,6,5,U/Pb,Metamorphic,"4 fractions (2 abr), 3 are near-conc to discordant and colinear, the 4th is off trend. Age is upper intercept of regression through the 3 points p.o.f.= 66%, with l.int. constrained at 1000 ?100 to improve error (from 1637+188/-145 Ma)",Monazite,TIMS,Direct,Grenville Province,NL,52.85,-65.15,Western Labrador. Coordinates approximated from regional-scale sketch map in report; poorly constrained,Lac Joseph Terrane - unknown,Metamorphic,"N2 leucosome, dominated by K-feldspar, plagioclase and quartz, with minor component of restite","Connelly, J.N. and Heaman, L.M., 1993. U-Pb geochronological constraints on the tectonic evolution of the Grenville Province, western Labrador; Precambrian Research, v. 63,  p. 123-142 ",8/5/05 18:56
51,6339,40647,-16798,3 LJT Leucosome,1660,8,6,U/Pb,Metamorphic,"4 fractions (3 abr), 3 are slightly disc to discordant and colinear, the 4th is reversely discordant. Age is upper intercept of regression through the 3 points p.o.f.= 58%, with l.int. constrained at 1000 ?100 to improve error (from 1663 +160/-10 Ma)",Monazite,TIMS,Direct,Grenville Province,NL,52.85,-65.15,Western Labrador. Coordinates approximated from regional-scale sketch map in report; poorly constrained,Lac Joseph Terrane - unknown,Metamorphic,"N1 leucosomes, dominated by K-feldspar, plagioclase and quartz, with minor component of restite","Connelly, J.N. and Heaman, L.M., 1993. U-Pb geochronological constraints on the tectonic evolution of the Grenville Province, western Labrador; Precambrian Research, v. 63,  p. 123-142 ",8/5/05 18:56
41,8211,17568,-11072,C-94-14,1148,4,4,U/Pb,Metamorphic,"Single concordant fraction, age is 207Pb/206 Pb age.",Monazite,TIMS,Direct,Grenville Province,ON,45.18539,-76.25423,Approx. 3 km SW of Almonte.,Frontenac terrane - Wolf Grove structure,Metamorphic,medium- to coarse-grained migmatitic gneiss layer of overall granodioritic composition,"Corfu, F. and Easton, R.M., 1997. Sharbot Lake terrane and its relationships to Frontenac terrane, Central Metasedimentary Belt, Grenville Orogen: new insights from U-Pb geochronology; Canadian Journal of Earth Sciences, v. 34,  p. 1239-1257 ",8/16/05 21:16
0,5840,40910,-11479,C-96-5,977,3,3,U/Pb,Metamorphic,"4 fractions analyzed, concordant to slightly discordant, age is lower limit of 207Pb/206Pb ages. See separate age entry for lower limit (goes to indicate metamorphism episodic).",Monazite,TIMS,Direct,Grenville Province,ON,46.60991,-80.58343,"Street Township, near Grenville Fault",Grenville Front tectonic zone - unknown,Metamorphic,(rutile staurolite muscovite) kyanite garnet biotite plagioclase quartz gneiss,"Corfu, F. and Easton, R.M., 2000. U-Pb evidence for polymetamorphic history of Huronian rocks in the Grenville Front Tectonic Zone east of Sudbury, Ontario; Chemical Geology, v. 172,  p. 149-171 ",9/15/05 0:01
