,index,Age_No,Lab_No,Sample_No,Age,Error_Plus,Error_Minus,Age_Method,Age_Interpretation,Age_Note,Age_Material,Age_Technique,Age_Qualifier,Geological_Province,Province,Latitude,Longitude,Location,Geological_Info,Rock_Type,Rock_Description,References,LastUpdated
0,5840,40910,-11479,C-96-5,977.0,3.0,3.0,U/Pb,Metamorphic,"4 fractions analyzed, concordant to slightly discordant, age is lower limit of 207Pb/206Pb ages. See separate age entry for lower limit (goes to indicate metamorphism episodic).",Monazite,TIMS,Direct,Grenville Province,ON,46.60991,-80.58343,"Street Township, near Grenville Fault",Grenville Front tectonic zone - unknown,Metamorphic,(rutile staurolite muscovite) kyanite garnet biotite plagioclase quartz gneiss,"Corfu, F. and Easton, R.M., 2000. U-Pb evidence for polymetamorphic history of Huronian rocks in the Grenville Front Tectonic Zone east of Sudbury, Ontario; Chemical Geology, v. 172,  p. 149-171 ",2005-09-15 00:01:46
1,15515,42591,-16739,CG93-027A,982.0,5.0,5.0,U/Pb,Metamorphic,"2 fractions, 1 is concordant with U-Pb ages as given. 207Pb/206Pb age is 985 ?5 Ma.",Monazite,TIMS,Estimate,Grenville Province,NL,51.76528,-56.5875,"Near Country Cat Pond, Labrador. Coordinates approximated from sketch map in report.",Pinware terrane - unknown,Plutonic,gneissic quartz monzonite,"Wasteneys, H.A., Kamo, S.L., Moser, D., Krogh, T.E., Gower, C.F. and Owen, J.V., 1997. U-Pb geochronological constraints on the geological evolution of the Pinware terrane and adjacent areas, Grenville Province, southeast Labrador, Canada; Precambrian Research, v. 81,  p. 101-128 ",2006-06-12 12:48:22
2,6148,40909,-11478,C-96-6,982.2,1.4,1.4,U/Pb,Metamorphic,"4 fractions analyzed, cluster on or just below concordia. This age is weighted mean 207Pb/206Pb age of the 3 younger fractions; two ages are given on basis that metamorphic monazite growth was likely episodic.",Monazite,TIMS,Estimate,Grenville Province,ON,46.61098,-80.58303000000001,"Street Township, near Grenville Fault",Grenville Front tectonic zone - unknown,Metamorphic,(rutile kyanite staurolite) garnet biotite muscovite plagioclase quartz schist,"Corfu, F. and Easton, R.M., 2000. U-Pb evidence for polymetamorphic history of Huronian rocks in the Grenville Front Tectonic Zone east of Sudbury, Ontario; Chemical Geology, v. 172,  p. 149-171 ",2005-09-14 23:55:03
3,8463,18244,-11478,C-96-6,987.0,3.0,3.0,U/Pb,Metamorphic,"4 fractions analyzed, cluster on or just below concordia. This age is for oldest 207Pb/206Pb age; two ages are given on basis that metamorphic monazite growth was likely episodic. Detrital zircon analyzed but all strongly discordant; not meaningful.",Monazite,TIMS,Estimate,Grenville Province,ON,46.61098,-80.58303000000001,"Street Township, near Grenville Fault",Grenville Front tectonic zone - unknown,Metamorphic,(rutile kyanite staurolite) garnet biotite muscovite plagioclase quartz schist,"Corfu, F. and Easton, R.M., 2000. U-Pb evidence for polymetamorphic history of Huronian rocks in the Grenville Front Tectonic Zone east of Sudbury, Ontario; Chemical Geology, v. 172,  p. 149-171 ",2005-09-14 23:55:35
4,8988,18388,-11563,Location 2a,988.0,2.0,2.0,U/Pb,Metamorphic,"Single monazite grain analysis, slighlty reversely discordant (-0.8%), age is 207Pb/235U age.",Monazite,TIMS,Direct,Grenville Province,ON,46.433370000000004,-80.81653,South of Sudbury. Coordinates approximated from regional-scale sketch map in report.,Grenville Front Tectonic Zone - NE trending mylonite zone,Plutonic,"white pegmatite, cataclastically deformed","Krogh, T.E., 1994. Precise U-Pb ages for Grenvillian and pre-Grenvillian thrusting of Proterozoic and Archean metamorphic assemblages in the Grenville Front tectonic zone, Canada; Tectonics, v. 13,  p. 963-982 ",2005-09-15 01:20:27
5,8179,18249,-11479,C-96-5,989.0,4.0,4.0,U/Pb,Metamorphic,"4 fractions analyzed, concordant to slightly discordant, age is upper limit of 207Pb/206Pb ages. See separate age entry for lower limit (goes to indicate metamorphism episodic).",Monazite,TIMS,Direct,Grenville Province,ON,46.60991,-80.58343,"Street Township, near Grenville Fault",Grenville Front tectonic zone - unknown,Metamorphic,(rutile staurolite muscovite) kyanite garnet biotite plagioclase quartz gneiss,"Corfu, F. and Easton, R.M., 2000. U-Pb evidence for polymetamorphic history of Huronian rocks in the Grenville Front Tectonic Zone east of Sudbury, Ontario; Chemical Geology, v. 172,  p. 149-171 ",2005-09-15 00:01:28
6,7405,17994,-11333,F-8,995.0,2.0,2.0,U/Pb,Metamorphic,"2 fractions (unabr), 1 is slightly reversely discordant (-1%), the other slightly discordant (0.7%). Age is upper intercept of line through both points (not a true regression, MSWD not applicable)",Monazite,TIMS,Direct,Grenville Province,QC,47.3048,-76.86719000000001,"On Hwy 117, 67 km S of Grenville Front. Coordinates interpolated from sketch map in report (by OGS compilers). To be verified to coordinates given in repository item",Reservoir Dozois terrane - unknown; Reservoir Dozois terrane,Plutonic,slightly foliated granite cutting metasediments; further details in repository item - not acquired at time of compilation,"Childe, F., Doig, R. and Gariepy, C., 1993. Monazite as a metamorphic chronometer, south of the Grenville Front, western Quebec; Canadian Journal of Earth Sciences, v. 30,  p. 1056-1065 ",2005-08-01 20:18:00
7,17894,21677,6084,99-PV-2133A,998.0,2.0,2.0,U/Pb,Metamorphic,Youngest of four monazite ages,Monazite,TIMS,Direct,Grenville Province,QC,50.28293,-62.55183,Sur le roadcut en Baie de Pontbriand,Complexe d'Aguanish - Granite porphyrique,Plutonic,"Granit gris feuillete, presque gneissique. Le granit recoupe des sediments du groupe de Wakeham.","Wodicka, N., David, J., Parent, M., Gobeil, A. and Verpaelst, P., 2002. Geochronologie U-Pb et Pb-Pb de la region de Sept-Iles - Natashquan, Province de Grenville, Moyenne Cote-Nord; Geologie et ressources minerales de la partie est de la Province de Grenville; Edited by Daniel Brisebois et Thomas Clark,  p. 59-118 ",2004-12-15 10:00:39
8,7403,17992,-11331,F-5,1000.0,8.0,8.0,U/Pb,Metamorphic,"4 fractions, discordant (1 - 3%), 3 are colinear, 4th just off trend (still touching one of the other 3). Age is mean 207Pb/206Pb age.",Monazite,TIMS,Direct,Grenville Province,QC,47.37341,-76.99248,On Hwy 117. Coordinates interpolated from sketch map in report (by OGS compilers). To be verified to coordinates given in repository item.,Reservoir Dozois terrane - unknown; Reservoir Dozois terrane,Metamorphic,gneiss; further details in repository item - not acquired at time of compilation,"Childe, F., Doig, R. and Gariepy, C., 1993. Monazite as a metamorphic chronometer, south of the Grenville Front, western Quebec; Canadian Journal of Earth Sciences, v. 30,  p. 1056-1065 ",2005-08-01 20:13:03
9,8064,18298,-11507,BUR44,1000.0,2.0,2.0,U/Pb,Metamorphic,"2 fractions, concordant and reversely discordant, age is 207Pb/206Pb age of the concordant fraction. Other one is 996 Ma (-0.3% disc)",Monazite,TIMS,Direct,Grenville Province,ON,46.478320000000004,-80.75887,No topographic reference given in report; located by UTM in appendix,Grenville Front Tectonic Zone - unknown,Metamorphic,pelitic schist,"Mezger, K., Essene, E.J., van der Pluijm, B.A. and Halliday, A.N., 1993. U-Pb geochronology of the Grenville Orogen of Ontario and New York: constraints on ancient crustal tectonics; Contributions to Mineralogy and Petrology, v. 114,  p. 13-26 ",2005-09-09 22:33:47
10,22361,23615,-14766,95-120,1004.0,2.0,2.0,U/Pb,Metamorphic,"2 fractions, slightly reversely discordant. Monazites have overgrowths indicating metamorphic origin. Age is 207Pb/206Pb age of the younger fraction (-0.6% discordant). Other fraction is 1027 ?1 Ma. ""maximum estimate"".",Monazite,TIMS,Maximum Estimate,Grenville Province,NL,50.06167,-56.93666999999999,Immediately downstream from the Cat Arm dam. Coordinates approximated from sketch map in report relative to online digital mapping of NGS.,"Long Range inlier (Grenvillian), in Humber Zone - Cat Arm Road gneiss",Plutonic,foliated medium-grained gray granite,"Heaman, L.M., Erdmer, P. and Owen, J.V., 2002. U-Pb geochronologic constraints on the crustal evolution of the Long Range Inlier, Newfoundland; Canadian Journal of Earth Sciences, v. 39,  p. 845-865 ",2005-02-26 18:58:45
11,7439,17996,-11334,F-9,1005.0,2.0,2.0,U/Pb,Peak Metamorphic,"5 fractions from 2 populations (have diff. chemical signatures). This age is for younger grouping, given by 2 fractions (concordant and 1.4% disordant). Age is upper intercept of ""regression"" on these two, 2nd pulse of metamorphism.",Monazite,TIMS,Direct,Grenville Province,QC,47.288140000000006,-76.83608000000001,On Hwy 117. Coordinates interpolated from sketch map in report (by OGS compilers). To be verified to coordinates given in repository item,Reservoir Dozois terrane - unknown; Reservoir Dozois terrane,Metamorphic,gneiss; further details in repository item - not acquired at time of compilation,"Childe, F., Doig, R. and Gariepy, C., 1993. Monazite as a metamorphic chronometer, south of the Grenville Front, western Quebec; Canadian Journal of Earth Sciences, v. 30,  p. 1056-1065 ",2005-08-01 20:25:28
12,7401,17988,-11330,F-4,1005.0,7.0,7.0,U/Pb,Metamorphic,"Large number of analyses cluster just below concordia to more discordant and scattered. Age is mean ""for those grains which did not appear to contain an inherited component"". No further details; data is a repository item.",Monazite,TIMS,Estimate,Grenville Province,QC,47.41175,-77.02637,On Hwy 117. Coordinates interpolated from sketch map in report (by OGS compilers). To be verified to coordinates given in repository item.,Reservoir Dozois terrane - unknown; Reservoir Dozois terrane,Metamorphic,gneiss; further details in repository item - not acquired at time of compilation,"Childe, F., Doig, R. and Gariepy, C., 1993. Monazite as a metamorphic chronometer, south of the Grenville Front, western Quebec; Canadian Journal of Earth Sciences, v. 30,  p. 1056-1065 ",2005-08-01 20:08:12
13,6512,40616,-15814,US-10,1005.0,2.0,2.0,U/Pb,Metamorphic,"5 fractions (abr), concordant to variably discordant, broadly colinear, but likely not within statistical validity (MSWD not reported). This age is mean (identical) 207Pb/206Pb age of 2 near-concordant points",Monazite,TIMS,Direct,Grenville Province,NL,53.668490000000006,-60.42135,"North shore of Grand Lake, Labrador. Coordinates interpolated from sketch map in report (by NGS compilers)",Groswater Bay terrane - Grand Lake Thrust System (footwall),Metamorphic,mylonitic paragneiss,"Philippe, S., Wardle, R.J. and Scharer, U., 1993. Labradorian and Grenvillian crustal evolution of the Goose Bay region, Labrador: new U - Pb geochronological constraints; Canadian Journal of Earth Sciences, v. 30,  p. 2315-2327 ",2005-07-25 19:55:04
14,7404,17993,-11332,F-6,1006.0,2.0,2.0,U/Pb,Metamorphic,"2 fractions (unabr), 1 is concordant, the other slightly discordant (1.8%). Age is mean (identical ) 207Pb/206Pb age.",Monazite,TIMS,Direct,Grenville Province,QC,47.35341,-76.9647,On Hwy 117. Coordinates interpolated from sketch map in report (by OGS compilers). To be verified to coordinates given in repository item.,Reservoir Dozois terrane - unknown; Reservoir Dozois terrane,Metamorphic,gneiss; further details in repository item - not acquired at time of compilation,"Childe, F., Doig, R. and Gariepy, C., 1993. Monazite as a metamorphic chronometer, south of the Grenville Front, western Quebec; Canadian Journal of Earth Sciences, v. 30,  p. 1056-1065 ",2005-08-01 20:14:45
15,17893,21676,6084,99-PV-2133A,1008.0,2.0,2.0,U/Pb,Metamorphic,oldest of four single grain monazite grains; two intermediate ages are 1005 Ma and 1000 Ma.  Continuous monazite growth is inferred from 1008 Ma to 998 Ma,Monazite,TIMS,Direct,Grenville Province,QC,50.28293,-62.55183,Sur le roadcut en Baie de Pontbriand,Complexe d'Aguanish - Granite porphyrique,Plutonic,"Granit gris feuillete, presque gneissique. Le granit recoupe des sediments du groupe de Wakeham.","Wodicka, N., David, J., Parent, M., Gobeil, A. and Verpaelst, P., 2002. Geochronologie U-Pb et Pb-Pb de la region de Sept-Iles - Natashquan, Province de Grenville, Moyenne Cote-Nord; Geologie et ressources minerales de la partie est de la Province de Grenville; Edited by Daniel Brisebois et Thomas Clark,  p. 59-118 ",2004-12-15 10:01:55
16,6258,41543,6713,CQA-00-111-P,1010.0,2.0,2.0,U/Pb,Metamorphic,"Weighted average 207Pb/235U age, N=2; 0.3% and 0.2% disc. A third concordant analysis yields 1001 ? 2 Ma.",Monazite,TIMS,Direct,Grenville Province,QC,50.6976,-61.11948,western shore of the western arm of the U-shape Musquaro lake,"Eastern Grenville - Grey, polymictic lapillistones, of intermediate composition",Volcanic,None,"van Breemen, O. and Corriveau, L., 2005. U-Pb age constraints on arenaceous and volcanic rocks of the Wakeham Group, eastern Grenville Province; Canadian Journal of Earth Sciences, v. 42 ",2005-12-07 16:44:35
17,5532,41257,-17053,MANIC71 (BZ1),1017.0,2.0,2.0,U/Pb,Metamorphic,"2 fractions (abr), concordant to near concordant, ellipses almost touch each other. Age is 207Pb/206Pb age of the older, more concordant fraction. The other has 207Pb/206Pb age of 1013 Ma.",Monazite,TIMS,Direct,Grenville Province,QC,51.64455,-68.32016999999999,E shore Manicougan reservoir.  The easting given in the paper is incorrect (plots ~1.5? too far west). New easting is approximate.,Tshenukutish terrane - Boundary Zone,Metamorphic,metapelite,"Indares, A. and Dunning, G., 2001. Partial melting of high-P-T metapelites from the Tshenukutish Terrane (Grenville Province): petrography and U-pb geochronology; Journal of Petrology, v. 42,  p. 1547-1565 ",2005-11-17 21:11:40
18,5569,41255,-17054,AI92-12 (BZ2),1019.0,2.0,2.0,U/Pb,Metamorphic,"2 fractions (abr), slightly reversely discordant (essentially concordant) and overlapping. Age is based all ages (U-Pb, Pb-Pb) as they overlap range defined by age / error.",Monazite,TIMS,Direct,Grenville Province,QC,51.778490000000005,-68.17322,E shore Manicougan reservoir.  The easting given in the paper is incorrect (plots ~1.5? too far west). New easting is approximate.,Tshenukutish terrane - Boundary Zone,Metamorphic,metapelite,"Indares, A. and Dunning, G., 2001. Partial melting of high-P-T metapelites from the Tshenukutish Terrane (Grenville Province): petrography and U-pb geochronology; Journal of Petrology, v. 42,  p. 1547-1565 ",2005-11-17 21:16:12
19,7440,17997,-11334,F-9,1020.0,3.0,3.0,U/Pb,Metamorphic,"5 fractions from 2 populations (have diff. chemical signatures). This age is for older group, consisting of 3 slightly discordant (0.7 - 1.5%) colinear points, age is upper intercept. 1st pulse of metamorphism. MSWD not reported; visually tight.",Monazite,TIMS,Direct,Grenville Province,QC,47.288140000000006,-76.83608000000001,On Hwy 117. Coordinates interpolated from sketch map in report (by OGS compilers). To be verified to coordinates given in repository item,Reservoir Dozois terrane - unknown; Reservoir Dozois terrane,Metamorphic,gneiss; further details in repository item - not acquired at time of compilation,"Childe, F., Doig, R. and Gariepy, C., 1993. Monazite as a metamorphic chronometer, south of the Grenville Front, western Quebec; Canadian Journal of Earth Sciences, v. 30,  p. 1056-1065 ",2005-08-01 20:26:47
20,8572,17728,2234,1381,1026.0,2.0,2.0,U/Pb,Metamorphic,"3 single-grain analyses, concordant and overlapping. Age is mean 207Pb/206Pb age of the 2 best fractions",Monazite,TIMS,Direct,Grenville Province,QC,45.59449,-75.6955,"600 m NW of Lac a la Perdrix and 300 m W of the Lac a la Perdrix-Lac Ronde road, Templeton Twp SW Quebec",Central Metasedimentary Belt - Lac a la Perdrix fenite,Metamorphic,fenite (magnesio-arfvedsonite-calcite-barite-albite-fluorapatite rock) (skarn),"Hogarth, D.D. and van Breemen, O., 1996. Geology and age of the Lac a la Perdrix fenite, southern Gatineau district, Quebec; Radiogenic Age and Isotopic Studies, Report 9, Geological Survey of Canada, Paper 1995-F,  p. 33-41 ",2005-05-17 22:39:50
21,17772,21698,-13608,96-PV-1230,1028.0,4.0,4.0,U/Pb,Metamorphic,207Pb/206Pb age of single monazite,Monazite,TIMS,Direct,Grenville Province,QC,51.263940000000005,-61.39252,"dans la partie nord du Complexe de Boulain, a quelques kilometres au nord du lac Poullet",Complexe de Boulain - Gneiss granitique,Plutonic,"Le Complexe de Boulain comprend un asemblage de gneiss de composition granitique a tonalitique par endroits et dans lesquels sont intercales du granite, du gabbro et de la pegmatitie deformes et metamorphoses","Wodicka, N., David, J., Parent, M., Gobeil, A. and Verpaelst, P., 2002. Geochronologie U-Pb et Pb-Pb de la region de Sept-Iles - Natashquan, Province de Grenville, Moyenne Cote-Nord; Geologie et ressources minerales de la partie est de la Province de Grenville; Edited by Daniel Brisebois et Thomas Clark,  p. 59-118 ",2004-12-16 10:37:41
22,5534,41259,-17052,MANIC320 (BNS3),1033.0,2.0,2.0,U/Pb,Metamorphic,"2 fractions (abr), concordant to near concordant, ellipses are well overlapping. Age is based all ages (U-Pb, Pb-Pb) as they overlap range defined by age / error.",Monazite,TIMS,Direct,Grenville Province,QC,51.65441,-68.49348,E shore Manicougan reservoir. The easting given in the paper is incorrect (plots ~1.5? too far west). New easting is approximate.,Tshenukutish terrane - Baie du Nord segment,Metamorphic,metapelite,"Indares, A. and Dunning, G., 2001. Partial melting of high-P-T metapelites from the Tshenukutish Terrane (Grenville Province): petrography and U-pb geochronology; Journal of Petrology, v. 42,  p. 1547-1565 ",2005-11-17 21:07:46
