descriptor,region,sample,grain,date,error,N,oxide_percent,CaO,K2O,SiO2,SrO,P2O5,As2O5,ThO2,UO2,Y2O3,La2O3,Ce2O3,Nd2O3,Pr2O3,Sm2O3,Tb2O3,Gd2O3,Dy2O3,Ho2O3,Er2O3,Eu2O3,Tm2O3,Yb2O3,SO3,PbO
higher Y cores,West Guilford,11AM–20,m9,1100,15,4,99.83,1.26,0,0.18,0.02,29.67,0.09,4.19,1.03,2.82,12.32,24.57,13.15,2.97,2.73,0.16,2.39,0.88,0.09,0.19,0.26,0.04,0.05,0.41,0.37
higher Y cores,West Guilford,HA13,m9,1099,15,6,98.81,0.58,0,0.11,0.01,29.27,0.09,2.16,0.51,3.2,11.54,25.68,13.73,3.15,3.01,0.3,3.01,1.37,0.11,0.15,0.43,0.04,0,0.16,0.19
higher Y cores,West Guilford,11AM–20,m8,1098,6,6,100,1.08,0,0.14,0,29.99,0.07,3.11,0.89,2.7,12.61,25.05,13.59,3.07,2.89,0.17,2.44,0.89,0.06,0.18,0.29,0.02,0.04,0.45,0.29
higher Y cores,West Guilford,11AM–20,m6 (gt),1096,7,7,98.49,1.34,0,0.24,0.01,29.41,0.09,5.26,0.8,2.57,11.87,24.24,13.01,2.96,2.5,0.09,2.3,0.8,0,0.09,0.19,0,0.02,0.33,0.38
higher Y cores,West Guilford,HA13,m13,1092,9,6,98.02,0.6,0,0.11,0,29.35,0.03,2.19,0.52,3.09,11.68,25.44,13.44,3.16,2.92,0.26,2.92,1.27,0.11,0.13,0.43,0.03,0,0.17,0.19
higher Y cores,West Guilford,HA13,m7,1091,18,6,98.77,0.58,0,0.14,0.01,29.24,0.11,2.3,0.31,1.61,11.94,26.81,14.43,3.33,3.13,0.21,2.98,0.87,0.02,0.06,0.31,0.02,0,0.23,0.16
higher Y cores,West Guilford,HA13,m3 (gt),1088,7,7,98.75,0.59,0,0.1,0.01,29.81,0.03,2.23,0.72,3.19,11.8,25.86,13.73,3.18,2.7,0.16,2.43,1.11,0.12,0.18,0.47,0.03,0.01,0.08,0.22
higher Y cores,West Guilford,HA13,m12 (gt),1085,16,7,99.3,0.63,0,0.14,0.01,29.51,0,2.43,0.37,2.02,11.79,26.43,14.3,3.28,3.14,0.24,3.11,1,0.03,0.09,0.35,0.03,0,0.25,0.17
lower Y cores,West Guilford,11AM–20,m10,1086,8,5,100.49,1.68,0.01,0.45,0.01,29.92,0.1,8.91,0.42,1.65,11.72,24.17,12.53,2.87,2.44,0.11,1.97,0.59,0.03,0.07,0.14,0.02,0,0.21,0.49
lower Y cores,West Guilford,HA13,m10,1086,17,5,98.74,0.57,0,0.26,0,28.91,0.01,2.7,0.14,0.71,11.64,27.27,15.72,3.54,3.3,0.12,2.71,0.43,0.04,0.02,0.21,0.02,0,0.31,0.15
