Sample_No,Age,Error_Plus,Error_Minus,Age_Method,Age_Interpretation,Age_Note,Age_Material,Age_Technique,Age_Qualifier,Geological_Province,Province,Latitude,Longitude,Location,Geological_Info,Rock_Type,Rock_Description,References,Compilation_Source,,UTM_Zone,UTM_Easting,UTM_Northing,Comment,Tectonic_Unit
Sh88-58,1435,2,2,U/Pb,Metamorphic,"Single fraction, fragment from within 2 mm of rim of cored grain. Age is 207Pb/206Pb age.",Allanite,TIMS,Estimate,Grenville Province,ON,45.52273,-80.35706,No topographic description.,High pressure terranes - Britt domain,Metamorphic,metapelitic gneiss,"Tuccillo, M.E., Mezger, K., Essene, E.J. and van der Pluijm, B.A., 1992. Thermobarometry, geochronology and the interpretation of P-T-t data in the Britt domain, Ontario Grenville Orogen, Canada; Journal of Petrology, v. 33, p. 1225-1259",GSCdatabase,,,,,,
Sh88-58,1450,1,1,U/Pb,Metamorphic,"Single fraction, core, concordant. Age is 207Pb/206Pb age.",Allanite,TIMS,Direct,Grenville Province,ON,45.52273,-80.35706,No topographic description.,High pressure terranes - Britt domain,Metamorphic,metapelitic gneiss,"Tuccillo, M.E., Mezger, K., Essene, E.J. and van der Pluijm, B.A., 1992. Thermobarometry, geochronology and the interpretation of P-T-t data in the Britt domain, Ontario Grenville Orogen, Canada; Journal of Petrology, v. 33, p. 1225-1259",GSCdatabase,,,,,,
Bigwood Twp 1,1034,30,30,K/Ar,Metamorphic,"Reported as 1005 Ma, to non-Old western (modified) decay constants; recalculated to 1977 (IUGS) constants. Mean of 2 analyses (1032 and 1036 after recalibration), revised from earlier reporting.",Amphibole,Ar Furnace-Fusion,Direct,Grenville Province,ON,46.03337,-80.64985,Bigwood Twp,Grenville Front Tectonic Zone - French River gneiss,Metamorphic,"nepheline-albite-hastingsite amphibole gneiss, enclosed within syenite","MacIntyre, R.M., York, D. and Gittins, J., 1969. The K-Ar characteristics of nepheline; Earth and Planetary Science Letters, v. 7, p. 125-131",GSCdatabase,,,,,,
P8-311,1002,74,74,Rb/Sr,Metamorphic,"5-pt regression, WR & mineral separates, MSWD =9.88 (scatter). Reported as 1024 Ma using decay constant of 1.39E-11; recalculated to 1.42E-11 (IUGS 1977). Feldspar & neph analyzed together; ""mafics"" analyses assumed to be biot+hbl","Amphibole, Biotite, Feldspar, Nepheline, Pyroxene, Whole Rock",TIMS,Estimate,Grenville Province,NL,54.00841,-62.64921,"Red Wine Lake, 20 km southwest, Labrador. Coordinates approximated from sketch map in report",Allochthonous Polycyclic Belt - Red Wine Alkaline Intrusive Suite,Plutonic,Agpaitic nepheline syenite,"Blaxland, A.B. and Curtis, L.W., 1977. Chronology of the Red Wine alkaline province, central Labrador; Canadian Journal of Earth Sciences, v. 14, p. 1940-1946",GSCdatabase,,,,,,
P8-312,949,64,64,Rb/Sr,Metamorphic,"5-pt regression, WR & mineral separates, MSWD =11.16 (scatter). Reported as 969 Ma using decay constant of 1.39E-11; recalculated to 1.42E-11 (IUGS 1977). Eudialyte makes up the 5th point. Amph var = arfvedsonite.","Amphibole, K-Feldspar, Plagioclase, Whole Rock",TIMS,Estimate,Grenville Province,NL,54.00841,-62.64921,"Red Wine Lake, 20 km southwest, Labrador. Coordinates approximated from sketch map in report",Allochthonous Polycyclic Belt - Red Wine Alkaline Intrusive Suite,Plutonic,agpaitic nepheline syenite,"Blaxland, A.B. and Curtis, L.W., 1977. Chronology of the Red Wine alkaline province, central Labrador; Canadian Journal of Earth Sciences, v. 14, p. 1940-1946",GSCdatabase,,,,,,
BNCF,918,445,445,U/Pb,Peak Metamorphic,"8 spots on 1 grains, age is 204Pb/206Pb vs. 207Pb/206Pb isochron age regressing all data, MSWD=0.87. Alternate 204Pb/206Pb vs. 238U/206Pb regression yields indistinguishable age of 1100 ?96 Ma, MSWD=0.24. Poorly constrained.",Apatite,SHRIMP,Estimate,Grenville Province,ON,45.20006,-77.24973,Sample site poorly constrained; coordinates very general.,Bancroft Terrane - unknown (Bancroft Terrane),Plutonic,sample not described,"Sano, Y., Oyama, T., Terada, K. and Hidaka, H., 1999. Ion microprobe U-Pb dating of apatite; Chemical Geology, v. 153, p. 249-258",GSCdatabase,,,,,,
A qf-gneiss,2596,5,5,Pb/Pb,Metamorphic,"16-pt regression, MSWD=1.8. Age strongly controlled by the garnet points; regressing without them yields age of 2649 ?29 Ma, MSWD=0.9. Other materials analyzed & included in calculation = magnetite & sillimanite.","Apatite, Biotite, Garnet, K-Feldspar, Whole Rock, Other",TIMS,Minimum Estimate,Grenville Province,QC,47.78314,-77.30972,On Hwy 17 between Val D'or and Mont Laurier 3 km S of Grenville Front. Coordinates approximated from small sketch map in report.,Grenville Front Tectonic Zone - Timiskaming terrane,Plutonic,quartzofeldspathic gneiss,"Gariepy, C., Verner, D. and Doig, R., 1990. Dating Archean metamorphic minerals southeast of the Grenville Front, western Quebec, using Pb isotopes; Geology, v. 18, p. 1078-1081 OR/OU Philippe, S., Gariepy, C., Doig, R. and Childe, F., 1990. U-Pb geochronology of late Archean monazites south of the Grenville Front, western Quebec; in Abitibi-Grenville Transect, Lithoprobe, Programme et Resumes, 1990, Montreal, not paginated",GSCdatabase,,,,,,
D Charnockite,2800,0,0,Pb/Pb,Metamorphic,"7-pt regression, not enough spread in values to derive a firm statistically valid isochron. Treat as approximation.","Apatite, Biotite, K-Feldspar, Whole Rock",TIMS,Estimate,Grenville Province,QC,47.63341,-77.24972,On Hwy 17 between Val D'or and Mont Laurier. Coordinates approximated from small sketch map in report.,Grenville Front Tectonic Zone - X terrane,Metamorphic,Granite gneiss,"Gariepy, C., Verner, D. and Doig, R., 1990. Dating Archean metamorphic minerals southeast of the Grenville Front, western Quebec, using Pb isotopes; Geology, v. 18, p. 1078-1081",GSCdatabase,,,,,,
85RME-952,1061,14,14,K/Ar,Metamorphic,Excess Ar suspected,Biotite,Ar Furnace-Fusion,Estimate,Grenville Province,ON,44.82097,-78.77372,"Miners Bay, road cut on Highway 35 at Miners Bay, approx. 13 km S of Minden","Mesoproterozoic Composite Arc allochthon, Central Metasedimentary Belt boundary zone - Denna Lake complex",Sedimentary,coarse biotite from metamorphic reaction rim surrounding a calc-silicate clast in marble tectonic breccia,"Hunt, P.A. and Roddick, J.C., 1988. A compilation of K-Ar ages: Report 18; Radiogenic Age and Isotopic Studies: Report 2, Geological Survey of Canada, Paper 88-2, p. 127-153 OR/OU Easton, R.M. and Roddick, J.C., 1988. K-Ar ages from the Minden area, Grenville Province, Ontario; in Radiogenic and Isotopic Studies: Report 2; Geological Survey of Canada, Paper 88-2, p. 41-44",GSCdatabase,,,,,,
85RME-956,944,14,14,K/Ar,Peak Metamorphic,None,Biotite,Ar Furnace-Fusion,Direct,Grenville Province,ON,44.95452,-78.65445,"Road cut on N side of Hwy 121, approx. 5 km E of Minden","Mesoproterozoic Composite Arc allochthon, Central Metasedimentary Belt - Allsaw Anorthosite",Plutonic,pink calcite-biotite fracture filling in anorthosite body,"Hunt, P.A. and Roddick, J.C., 1988. A compilation of K-Ar ages: Report 18; Radiogenic Age and Isotopic Studies: Report 2, Geological Survey of Canada, Paper 88-2, p. 127-153 OR/OU Easton, R.M. and Roddick, J.C., 1988. K-Ar ages from the Minden area, Grenville Province, Ontario; in Radiogenic and Isotopic Studies: Report 2; Geological Survey of Canada, Paper 88-2, p. 41-44",GSCdatabase,,,,,,
